* Haltestellen
*
$STOPPOINT:ID;Code;Name
8215;8215;8215
8216;8216;8216
8217;8217;8217
8193;8193;8193
8220;8220;8220
8194;8194;8194
8195;8195;8195
8196;8196;8196
8222;8222;8222
8224;8224;8224
8225;8225;8225
8198;8198;8198
8199;8199;8199
8201;8201;8201
8235;8235;8235
8202;8202;8202
8203;8203;8203
8204;8204;8204
8205;8205;8205
8206;8206;8206
8207;8207;8207
8221;8221;8221
8208;8208;8208
8209;8209;8209
8210;8210;8210
8211;8211;8211
8234;8234;8234
8231;8231;8231
8232;8232;8232
8213;8213;8213
*
* Linien
*
$LINE:ID;Code;Name
8;8;8
2;2;2
3;3;3
9;9;9
4;4;4
10;10;10
5;5;5
11;11;11
7;7;7
12;12;12
*
* Fahrzeugtypen
*
$VEHICLETYPE:ID;Code;Name;VehCost;KmCost;HourCost;Capacity
1;1;1;60000;1;60;1000
*
* FahrzeugtypGruppen
*
$VEHICLETYPEGROUP:ID;Code;Name
1;1;1
*
* FahrzeugtypZuFahrzeugtypGruppe
*
$VEHTYPETOVEHTYPEGROUP:VehTypeID;VehTypeGroupID
1;1
*
* FahrzeugKapazitaetenZuHaltestelle
*
$VEHTYPECAPTOSTOPPOINT:VehTypeID;StoppointID;Min;Max
1;8206;0;1000
*
* Linienfahrten
*
$SERVICEJOURNEY:ID;LineID;FromStopID;ToStopID;DepTime;ArrTime;MinAheadTime;MinLayoverTime;VehTypeGroupID;MaxShiftBackwardSeconds;MaxShiftForwardSeconds;FromStopBreakFacility;ToStopBreakFacility;CODE
131073;2;8206;8198;000:05:46:00;000:06:36:00;0;0;1;0;0;1;1;-
131081;2;8206;8198;000:06:16:00;000:07:06:00;0;0;1;0;0;1;1;-
131084;2;8198;8206;000:06:51:00;000:07:41:00;0;0;1;0;0;1;1;-
131100;2;8198;8206;000:07:21:00;000:08:11:00;0;0;1;0;0;1;1;-
131074;2;8206;8198;000:07:46:00;000:08:36:00;0;0;1;0;0;1;1;-
131082;2;8206;8198;000:08:16:00;000:09:06:00;0;0;1;0;0;1;1;-
131085;2;8198;8206;000:08:51:00;000:09:41:00;0;0;1;0;0;1;1;-
131101;2;8198;8206;000:09:21:00;000:10:11:00;0;0;1;0;0;1;1;-
131075;2;8206;8198;000:09:46:00;000:10:36:00;0;0;1;0;0;1;1;-
131087;2;8206;8198;000:10:46:00;000:11:36:00;0;0;1;0;0;1;1;-
131086;2;8198;8206;000:10:48:00;000:11:38:00;0;0;1;0;0;1;1;-
131076;2;8206;8198;000:11:46:00;000:12:36:00;0;0;1;0;0;1;1;-
131091;2;8198;8206;000:11:48:00;000:12:38:00;0;0;1;0;0;1;1;-
131088;2;8206;8198;000:12:46:00;000:13:36:00;0;0;1;0;0;1;1;-
131077;2;8206;8198;000:13:46:00;000:14:36:00;0;0;1;0;0;1;1;-
131092;2;8198;8206;000:13:48:00;000:14:38:00;0;0;1;0;0;1;1;-
131089;2;8206;8198;000:14:46:00;000:15:36:00;0;0;1;0;0;1;1;-
131093;2;8198;8206;000:14:48:00;000:15:38:00;0;0;1;0;0;1;1;-
131078;2;8206;8198;000:15:46:00;000:16:36:00;0;0;1;0;0;1;1;-
131094;2;8198;8206;000:15:51:00;000:16:41:00;0;0;1;0;0;1;1;-
131090;2;8206;8198;000:16:46:00;000:17:36:00;0;0;1;0;0;1;1;-
131095;2;8198;8206;000:16:51:00;000:17:41:00;0;0;1;0;0;1;1;-
131079;2;8206;8198;000:17:46:00;000:18:36:00;0;0;1;0;0;1;1;-
131096;2;8198;8206;000:17:51:00;000:18:41:00;0;0;1;0;0;1;1;-
131083;2;8206;8198;000:18:46:00;000:19:36:00;0;0;1;0;0;1;1;-
131097;2;8198;8206;000:18:51:00;000:19:41:00;0;0;1;0;0;1;1;-
131080;2;8206;8198;000:19:46:00;000:20:36:00;0;0;1;0;0;1;1;-
131098;2;8198;8206;000:19:51:00;000:20:41:00;0;0;1;0;0;1;1;-
131099;2;8198;8206;000:20:51:00;000:21:41:00;0;0;1;0;0;1;1;-
196609;3;8209;8211;000:04:26:00;000:04:29:00;0;0;1;0;0;1;1;-
196626;3;8211;8220;000:04:30:00;000:05:17:00;0;0;1;0;0;1;1;-
196610;3;8220;8211;000:05:42:00;000:06:31:00;0;0;1;0;0;1;1;-
196627;3;8211;8220;000:06:33:00;000:07:20:00;0;0;1;0;0;1;1;-
196612;3;8220;8211;000:07:42:00;000:08:31:00;0;0;1;0;0;1;1;-
196628;3;8211;8220;000:08:33:00;000:09:20:00;0;0;1;0;0;1;1;-
196613;3;8220;8211;000:09:39:00;000:10:28:00;0;0;1;0;0;1;1;-
196629;3;8211;8220;000:10:30:00;000:11:17:00;0;0;1;0;0;1;1;-
196614;3;8220;8211;000:11:39:00;000:12:28:00;0;0;1;0;0;1;1;-
196630;3;8211;8220;000:12:30:00;000:13:17:00;0;0;1;0;0;1;1;-
196615;3;8220;8211;000:13:42:00;000:14:31:00;0;0;1;0;0;1;1;-
196631;3;8211;8220;000:14:33:00;000:15:20:00;0;0;1;0;0;1;1;-
196616;3;8220;8211;000:15:42:00;000:16:31:00;0;0;1;0;0;1;1;-
196632;3;8211;8220;000:16:33:00;000:17:20:00;0;0;1;0;0;1;1;-
196617;3;8220;8211;000:17:39:00;000:18:28:00;0;0;1;0;0;1;1;-
196633;3;8211;8220;000:18:30:00;000:19:17:00;0;0;1;0;0;1;1;-
196618;3;8220;8211;000:19:39:00;000:20:28:00;0;0;1;0;0;1;1;-
196611;3;8194;8234;000:21:20:00;000:21:43:00;0;0;1;0;0;1;1;-
262170;4;8211;8196;000:04:25:00;000:05:12:00;0;0;1;0;0;1;1;-
262179;4;8211;8196;000:04:45:00;000:05:32:00;0;0;1;0;0;1;1;-
262145;4;8196;8211;000:05:22:00;000:06:13:00;0;0;1;0;0;1;1;-
262150;4;8196;8211;000:05:42:00;000:06:33:00;0;0;1;0;0;1;1;-
262187;4;8208;8195;000:06:06:00;000:06:18:00;0;0;1;0;0;1;1;-
262171;4;8211;8196;000:06:25:00;000:07:19:00;0;0;1;0;0;1;1;-
262188;4;8208;8195;000:06:26:00;000:06:38:00;0;0;1;0;0;1;1;-
262180;4;8211;8196;000:06:45:00;000:07:39:00;0;0;1;0;0;1;1;-
262189;4;8208;8195;000:06:46:00;000:06:58:00;0;0;1;0;0;1;1;-
262190;4;8208;8195;000:07:06:00;000:07:18:00;0;0;1;0;0;1;1;-
262146;4;8196;8211;000:07:22:00;000:08:13:00;0;0;1;0;0;1;1;-
262191;4;8208;8195;000:07:26:00;000:07:38:00;0;0;1;0;0;1;1;-
262152;4;8196;8211;000:07:42:00;000:08:33:00;0;0;1;0;0;1;1;-
262192;4;8208;8195;000:07:46:00;000:07:58:00;0;0;1;0;0;1;1;-
262193;4;8208;8195;000:08:06:00;000:08:18:00;0;0;1;0;0;1;1;-
262172;4;8211;8196;000:08:25:00;000:09:19:00;0;0;1;0;0;1;1;-
262194;4;8208;8195;000:08:26:00;000:08:38:00;0;0;1;0;0;1;1;-
262181;4;8211;8196;000:08:45:00;000:09:39:00;0;0;1;0;0;1;1;-
262147;4;8196;8211;000:09:42:00;000:10:33:00;0;0;1;0;0;1;1;-
