*
* Diensttypen
*
$DUTY:DutyID;DutyType
15p;day-Tripper
31;day-Tripper
32;day-Tripper
36p;day-Tripper
40p;day-Tripper
84p;day-Tripper
95p;day-Tripper
712;day-Split90-225
781;day-Split90-225
834;day-Split90-225
975;day-Split90-225
1127;day-Split90-225
1327;day-Split90-225
1644;day-Split90-225
2455;day-Split90-225
2775;day-Split226-360
3498;day-Split226-360
4294;day-Split226-360
4328;day-Split226-360
4454;day-Block30
4457;day-Block30
4521;day-Block30
4722;day-Block30
5825;day-Block30
5830;day-Block30
5873;day-Block30
5977;day-Block30
6002;day-Block30
6010;day-Block30
6047;day-Block30
6076;day-Block30
6125;day-Block30
6148;day-Block30
29932;day-Split90-225
30070;day-Split90-225
30088;day-Split90-225
30116;day-Split226-360
30150;day-Split226-360
35032;day-Block30
35914;day-Split90-225
35987;day-Split226-360
36125;day-Block30
36971;day-Split90-225
37049;day-Split226-360
37075;day-Block30
37096;day-Block30
37098;day-Block30
37641;day-Block30
37646;day-Block30
38707;day-Block30
39276;day-Split90-225
39282;day-Block30
*
* Dienste
* (mit ElementType: 1 = Servicefahrt, 2 = Leerfahrt Haltestellen, 3 = Fahrt ins Depot, 4 = Fahrt aus dem Depot, 5 = Vorbereitung, 6 = Nachbereitung, 7 = Transfer, 8 = Pause, 9 = Warten, 10 = LayoverTime)
$DUTYELEMENT:DutyID;BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
15p;-3;-1;-1;0;0:04:11:00;0:04:21:00;5;
15p;2;-1;0;8209;0:04:21:00;0:04:26:00;4;
15p;2;196609;8209;8211;0:04:26:00;0:04:29:00;1;-
15p;2;-1;8211;8211;0:04:29:00;0:04:30:00;9;
15p;2;196626;8211;8220;0:04:30:00;0:05:17:00;1;-
15p;2;-1;8220;8220;0:05:17:00;0:05:42:00;9;
15p;2;196610;8220;8211;0:05:42:00;0:06:31:00;1;-
15p;2;-1;8211;8211;0:06:31:00;0:06:33:00;9;
15p;2;196627;8211;8220;0:06:33:00;0:07:20:00;1;-
15p;2;-1;8220;8220;0:07:20:00;0:07:42:00;9;
15p;2;196612;8220;8211;0:07:42:00;0:08:31:00;1;-
15p;2;-1;8211;8211;0:08:31:00;0:08:33:00;9;
15p;2;196628;8211;8220;0:08:33:00;0:09:20:00;1;-
15p;2;-1;8220;8220;0:09:20:00;0:09:39:00;9;
15p;2;196613;8220;8211;0:09:39:00;0:10:28:00;1;-
15p;2;-1;8211;8211;0:10:28:00;0:10:30:00;9;
15p;2;196629;8211;8220;0:10:30:00;0:11:17:00;1;-
15p;2;-1;8220;8220;0:11:17:00;0:11:39:00;9;
15p;2;196614;8220;8211;0:11:39:00;0:12:28:00;1;-
15p;2;-1;8211;8211;0:12:28:00;0:12:30:00;9;
15p;2;196630;8211;8220;0:12:30:00;0:13:17:00;1;-
15p;2;-1;8220;8220;0:13:17:00;0:13:42:00;9;
15p;2;196615;8220;8211;0:13:42:00;0:14:31:00;1;-
15p;2;-1;8211;8211;0:14:31:00;0:14:33:00;9;
15p;2;196631;8211;8220;0:14:33:00;0:15:20:00;1;-
15p;2;-1;8220;8220;0:15:20:00;0:15:42:00;9;
15p;2;196616;8220;8211;0:15:42:00;0:16:31:00;1;-
15p;2;-1;8211;8211;0:16:31:00;0:16:33:00;9;
15p;2;196632;8211;8220;0:16:33:00;0:17:20:00;1;-
15p;2;-1;8220;8220;0:17:20:00;0:17:39:00;9;
15p;2;196617;8220;8211;0:17:39:00;0:18:28:00;1;-
15p;2;-1;8211;8211;0:18:28:00;0:18:30:00;9;
15p;2;196633;8211;8220;0:18:30:00;0:19:17:00;1;-
15p;2;-1;8220;8220;0:19:17:00;0:19:39:00;9;
15p;2;196618;8220;8211;0:19:39:00;0:20:28:00;1;-
15p;2;-1;8211;0;0:20:28:00;0:20:34:00;3;
15p;-3;-1;0;-1;0:20:34:00;0:20:44:00;6;
31;-3;-1;-1;0;0:04:29:00;0:04:39:00;5;
31;6;-1;0;8211;0:04:39:00;0:04:45:00;4;
31;6;262179;8211;8196;0:04:45:00;0:05:32:00;1;-
31;6;-1;8196;8196;0:05:32:00;0:05:42:00;9;
31;6;262150;8196;8211;0:05:42:00;0:06:33:00;1;-
31;6;-1;8211;8211;0:06:33:00;0:06:43:00;9;
31;6;393223;8211;8213;0:06:43:00;0:07:29:00;1;-
31;6;393250;8213;8211;0:07:29:00;0:08:16:00;1;-
31;6;-1;8211;8211;0:08:16:00;0:08:25:00;9;
31;-1;-1;8211;0;0:08:25:00;0:08:30:00;7;
31;-3;-1;0;-1;0:08:30:00;0:08:40:00;6;
32;-3;-1;-1;8211;0:08:15:00;0:08:25:00;5;
32;6;262172;8211;8196;0:08:25:00;0:09:19:00;1;-
32;6;-1;8196;8196;0:09:19:00;0:09:42:00;9;
32;6;262147;8196;8211;0:09:42:00;0:10:33:00;1;-
32;6;-1;8211;8211;0:10:33:00;0:10:43:00;9;
32;6;393233;8211;8213;0:10:43:00;0:11:29:00;1;-
32;6;393252;8213;8211;0:11:29:00;0:12:16:00;1;-
32;6;-1;8211;8211;0:12:16:00;0:12:23:00;9;
32;-3;-1;8211;-1;0:12:23:00;0:12:33:00;6;
36p;-3;-1;-1;8213;0:09:34:00;0:09:44:00;5;
36p;-1;-1;8213;8213;0:09:44:00;0:09:49:00;7;
36p;7;393259;8213;8211;0:09:49:00;0:10:36:00;1;-
36p;7;-1;8211;8211;0:10:36:00;0:10:45:00;9;
36p;7;262173;8211;8196;0:10:45:00;0:11:39:00;1;-
36p;7;-1;8196;8196;0:11:39:00;0:12:02:00;9;
36p;7;262148;8196;8211;0:12:02:00;0:12:53:00;1;-
36p;7;-1;8211;8210;0:12:53:00;0:12:59:00;2;
36p;7;-1;8210;8210;0:12:59:00;0:13:00:00;9;
36p;7;327684;8210;8198;0:13:00:00;0:13:49:00;1;-
36p;7;-1;8198;8198;0:13:49:00;0:14:03:00;9;
36p;7;327689;8198;8199;0:14:03:00;0:14:30:00;1;-
36p;7;-1;8199;8199;0:14:30:00;0:14:31:00;9;
36p;7;393363;8199;8207;0:14:31:00;0:14:47:00;1;-
36p;7;-1;8207;8207;0:14:47:00;0:14:51:00;9;
36p;7;393332;8207;8199;0:14:51:00;0:15:09:00;1;-
36p;7;-1;8199;8199;0:15:09:00;0:15:11:00;9;
36p;7;393365;8199;8207;0:15:11:00;0:15:27:00;1;-
36p;7;-1;8207;8207;0:15:27:00;0:15:31:00;9;
36p;7;393320;8207;8199;0:15:31:00;0:15:49:00;1;-
36p;7;-1;8199;8199;0:15:49:00;0:15:51:00;9;
36p;7;393367;8199;8207;0:15:51:00;0:16:07:00;1;-
36p;7;-1;8207;8207;0:16:07:00;0:16:11:00;9;
36p;7;393308;8207;8199;0:16:11:00;0:16:29:00;1;-
36p;7;-1;8199;8199;0:16:29:00;0:16:31:00;9;
36p;7;393369;8199;8207;0:16:31:00;0:16:47:00;1;-
36p;7;-1;8207;8207;0:16:47:00;0:16:51:00;9;
36p;7;393334;8207;8199;0:16:51:00;0:17:09:00;1;-
36p;7;-1;8199;8199;0:17:09:00;0:17:11:00;9;
36p;7;393371;8199;8207;0:17:11:00;0:17:27:00;1;-
36p;7;-1;8207;8207;0:17:27:00;0:17:31:00;9;
36p;7;393322;8207;8199;0:17:31:00;0:17:49:00;1;-
36p;7;-1;8199;8199;0:17:49:00;0:17:51:00;9;
36p;7;393373;8199;8207;0:17:51:00;0:18:07:00;1;-
36p;7;-1;8207;0;0:18:07:00;0:18:13:00;3;
36p;-3;-1;0;-1;0:18:13:00;0:18:23:00;6;
40p;-3;-1;-1;8213;0:09:19:00;0:09:29:00;5;
40p;8;393251;8213;8211;0:09:29:00;0:10:16:00;1;-
40p;8;-1;8211;8211;0:10:16:00;0:10:23:00;9;
40p;8;393232;8211;8213;0:10:23:00;0:11:09:00;1;-
40p;8;-1;8213;8213;0:11:09:00;0:11:49:00;9;
40p;8;393260;8213;8211;0:11:49:00;0:12:36:00;1;-
40p;8;-1;8211;8211;0:12:36:00;0:12:43:00;9;
40p;8;393237;8211;8213;0:12:43:00;0:13:29:00;1;-
40p;8;-1;8213;8213;0:13:29:00;0:13:49:00;9;
40p;8;393261;8213;8211;0:13:49:00;0:14:36:00;1;-
40p;8;-1;8211;8211;0:14:36:00;0:14:43:00;9;
40p;8;393241;8211;8213;0:14:43:00;0:15:29:00;1;-
40p;8;-1;8213;8213;0:15:29:00;0:15:49:00;9;
40p;-3;-1;8213;-1;0:15:49:00;0:15:59:00;6;
84p;-3;-1;-1;8211;0:11:25:00;0:11:35:00;5;
84p;-1;-1;8211;8211;0:11:35:00;0:11:40:00;7;
84p;-1;-1;8211;8211;0:11:40:00;0:11:43:00;9;
84p;9;393235;8211;8213;0:11:43:00;0:12:29:00;1;-
84p;9;-1;8213;8213;0:12:29:00;0:12:49:00;9;
84p;9;393274;8213;8211;0:12:49:00;0:13:36:00;1;-
84p;9;-1;8211;8211;0:13:36:00;0:13:43:00;9;
