*
* Diensttypen
*
$DUTY:DutyID;DutyType
41;day-Tripper
59;day-Tripper
102;day-Tripper
109;day-Tripper
117;day-Tripper
131;day-Tripper
171;day-Tripper
33077;day-Split
38202;day-Block30
47767;day-Split
48674;day-Split
60958;day-Tripper
62499;day-Split
62653;day-Split
75061;day-Split
76093;day-Block30
76351;day-Block30
77857;day-Block30
85564;day-Block30
94712;day-Split
96393;day-Block30
122492;day-Split
133911;day-Block30
142340;day-Split
144869;day-Block30
154512;day-Split
155352;day-Block30
158399;day-Split
159408;day-Block30
164247;day-Split
171980;day-Block20
175480;day-Split
178491;day-Split
178595;day-Split
190910;day-Split
193985;day-Block20
200847;day-Block30
201351;day-Block30
203881;day-Block20
209343;day-Split
210068;day-Block30
211373;day-Block30
218409;day-Tripper
219751;day-Block30
222880;day-Block20
227408;day-Split
244883;day-Split
245261;day-Block30
252747;day-Split
258001;day-Block30
263510;day-Split
263840;day-Split
276538;day-Split
278350;day-Block30
285212;day-Split
285381;day-Split
285567;day-Split
287426;day-Tripper
287795;day-Split
289050;day-Block20
291998;day-Split
294107;day-Block20
295145;day-Tripper
295856;day-Split
296411;day-Block30
297092;day-Block30
297442;day-Block20
*
* Dienste
* (mit ElementType: 1 = Servicefahrt, 2 = Leerfahrt Haltestellen, 3 = Fahrt ins Depot, 4 = Fahrt aus dem Depot, 5 = Vorbereitung, 6 = Nachbereitung, 7 = Transfer, 8 = Pause, 9 = Warten, 10 = LayoverTime)
$DUTYELEMENT:DutyID;BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
41;-3;-1;-1;1;0:04:55:00;0:05:05:00;5;
41;5;-1;1;441;0:05:05:00;0:05:21:00;4;
41;5;25;441;296;0:05:21:00;0:05:53:00;1;
41;5;-1;296;296;0:05:53:00;0:06:02:00;9;
41;5;26;296;441;0:06:02:00;0:06:34:00;1;
41;5;-1;441;441;0:06:34:00;0:06:51:00;9;
41;5;27;441;296;0:06:51:00;0:07:23:00;1;
41;5;-1;296;296;0:07:23:00;0:07:32:00;9;
41;5;28;296;441;0:07:32:00;0:08:04:00;1;
41;5;-1;441;441;0:08:04:00;0:08:20:00;9;
41;5;388;441;271;0:08:20:00;0:08:54:00;1;
41;5;-1;271;271;0:08:54:00;0:08:57:00;9;
41;-1;-1;271;1;0:08:57:00;0:09:02:00;7;
41;-3;-1;1;-1;0:09:02:00;0:09:12:00;6;
59;-3;-1;-1;1;0:14:10:00;0:14:20:00;5;
59;30;-1;1;500;0:14:20:00;0:14:30:00;4;
59;30;483;500;394;0:14:30:00;0:15:12:00;1;
59;30;-1;394;394;0:15:12:00;0:15:15:00;9;
59;30;484;394;500;0:15:15:00;0:16:03:00;1;
59;30;-1;500;213;0:16:03:00;0:16:17:00;2;
59;30;-1;213;213;0:16:17:00;0:16:22:00;9;
59;30;463;213;271;0:16:22:00;0:16:59:00;1;
59;30;-1;271;558;0:16:59:00;0:17:28:00;2;
59;30;-1;558;558;0:17:28:00;0:17:31:00;9;
59;30;62;558;101;0:17:31:00;0:18:08:00;1;
59;30;-1;101;213;0:18:08:00;0:18:19:00;2;
59;30;-1;213;213;0:18:19:00;0:18:22:00;9;
59;-1;-1;213;1;0:18:22:00;0:18:27:00;7;
59;-3;-1;1;-1;0:18:27:00;0:18:37:00;6;
102;-3;-1;-1;1;0:05:59:00;0:06:09:00;5;
102;15;-1;1;101;0:06:09:00;0:06:19:00;4;
102;15;47;101;558;0:06:19:00;0:06:53:00;1;
102;15;-1;558;558;0:06:53:00;0:07:01:00;9;
102;15;48;558;101;0:07:01:00;0:07:38:00;1;
102;15;-1;101;101;0:07:38:00;0:07:49:00;9;
102;15;49;101;558;0:07:49:00;0:08:23:00;1;
102;15;-1;558;558;0:08:23:00;0:08:31:00;9;
102;15;50;558;101;0:08:31:00;0:09:08:00;1;
102;15;-1;101;101;0:09:08:00;0:09:19:00;9;
102;15;51;101;558;0:09:19:00;0:09:53:00;1;
102;15;-1;558;558;0:09:53:00;0:10:01:00;9;
102;-1;-1;558;1;0:10:01:00;0:10:06:00;7;
102;-3;-1;1;-1;0:10:06:00;0:10:16:00;6;
109;-3;-1;-1;1;0:06:06:00;0:06:16:00;5;
109;16;-1;1;228;0:06:16:00;0:06:28:00;4;
109;16;248;228;292;0:06:28:00;0:07:10:00;1;
109;16;-1;292;297;0:07:10:00;0:07:14:00;2;
109;16;-1;297;297;0:07:14:00;0:07:19:00;9;
109;16;332;297;253;0:07:19:00;0:07:52:00;1;
109;16;-1;253;253;0:07:52:00;0:08:04:00;9;
109;16;333;253;297;0:08:04:00;0:08:38:00;1;
109;16;-1;297;297;0:08:38:00;0:08:49:00;9;
109;16;334;297;253;0:08:49:00;0:09:22:00;1;
109;16;-1;253;253;0:09:22:00;0:09:34:00;9;
109;16;335;253;297;0:09:34:00;0:10:08:00;1;
109;16;-1;297;292;0:10:08:00;0:10:11:00;2;
109;16;-1;292;292;0:10:11:00;0:10:15:00;9;
109;-1;-1;292;1;0:10:15:00;0:10:20:00;7;
109;-3;-1;1;-1;0:10:20:00;0:10:30:00;6;
117;-3;-1;-1;1;0:06:07:00;0:06:17:00;5;
117;17;-1;1;235;0:06:17:00;0:06:32:00;4;
117;17;263;235;353;0:06:32:00;0:07:02:00;1;
117;17;-1;353;271;0:07:02:00;0:07:23:00;2;
117;17;-1;271;271;0:07:23:00;0:07:27:00;9;
117;17;105;271;213;0:07:27:00;0:08:02:00;1;
117;17;-1;213;654;0:08:02:00;0:08:10:00;2;
117;17;-1;654;654;0:08:10:00;0:08:13:00;9;
117;17;371;654;271;0:08:13:00;0:08:59:00;1;
117;17;-1;271;271;0:08:59:00;0:09:06:00;9;
117;17;372;271;441;0:09:06:00;0:09:38:00;1;
117;17;-1;441;441;0:09:38:00;0:09:50:00;9;
117;17;373;441;271;0:09:50:00;0:10:24:00;1;
117;17;-1;271;271;0:10:24:00;0:10:27:00;9;
117;-1;-1;271;1;0:10:27:00;0:10:32:00;7;
117;-3;-1;1;-1;0:10:32:00;0:10:42:00;6;
131;-3;-1;-1;1;0:06:18:00;0:06:28:00;5;
131;20;-1;1;586;0:06:28:00;0:06:38:00;4;
131;20;297;586;364;0:06:38:00;0:07:23:00;1;
