*
* Diensttypen
*
$DUTY:DutyID;DutyType
5694;day-Block30
5728;day-Block30
14006;day-Split
19418;day-Split
20016;day-Split
21115;day-Split
22096;day-Split
25726;day-Block30
26644;day-Block30
27168;day-Block15
27719;day-Block20
28027;day-Split
29358;day-Block20
29477;day-Tripper
30333;day-Split
30358;day-Split
30595;day-Split
30622;day-Split
30747;day-Block20
30849;day-Block20
30944;day-Split
31235;day-Split
31641;day-Split
33673;day-Block20
33974;day-Split
*
* Dienste
* (mit ElementType: 1 = Servicefahrt, 2 = Leerfahrt Haltestellen, 3 = Fahrt ins Depot, 4 = Fahrt aus dem Depot, 5 = Vorbereitung, 6 = Nachbereitung, 7 = Transfer, 8 = Pause, 9 = Warten, 10 = LayoverTime)
$DUTYELEMENT:DutyID;BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
5694;-3;-1;-1;8206;0:15:40:00;0:15:50:00;5;
5694;0;-1;8206;8215;0:15:50:00;0:15:55:00;4;
5694;0;791455;8215;8222;0:15:55:00;0:16:03:00;1;-
5694;0;-1;8222;8222;0:16:03:00;0:16:05:00;9;
5694;0;589836;8222;8217;0:16:05:00;0:16:17:00;1;-
5694;0;-1;8217;8206;0:16:17:00;0:16:23:00;3;
5694;-1;P;-1;-1;0:16:23:00;0:17:46:00;8;
5694;6;-1;8206;8206;0:17:46:00;0:17:46:00;4;
5694;6;131079;8206;8198;0:17:46:00;0:18:36:00;1;-
5694;6;-1;8198;8198;0:18:36:00;0:18:51:00;9;
5694;6;131097;8198;8206;0:18:51:00;0:19:41:00;1;-
5694;6;-1;8206;8206;0:19:41:00;0:19:41:00;3;
5694;-3;-1;8206;-1;0:19:41:00;0:19:51:00;6;
5728;-3;-1;-1;8206;0:13:04:00;0:13:14:00;5;
5728;11;-1;8206;8209;0:13:14:00;0:13:19:00;4;
5728;11;655366;8209;8217;0:13:19:00;0:13:36:00;1;-
5728;11;-1;8217;8206;0:13:36:00;0:13:42:00;3;
5728;-1;P;-1;-1;0:13:42:00;0:14:46:00;8;
5728;15;-1;8206;8206;0:14:46:00;0:14:46:00;4;
5728;15;131089;8206;8198;0:14:46:00;0:15:36:00;1;-
5728;15;-1;8198;8198;0:15:36:00;0:15:43:00;9;
5728;15;327696;8198;8210;0:15:43:00;0:16:28:00;1;-
5728;15;-1;8210;8210;0:16:28:00;0:16:30:00;9;
5728;15;327722;8210;8198;0:16:30:00;0:17:17:00;1;-
5728;15;-1;8198;8198;0:17:17:00;0:17:25:00;9;
5728;15;327712;8198;8210;0:17:25:00;0:18:08:00;1;-
5728;15;-1;8210;8210;0:18:08:00;0:18:10:00;9;
5728;15;327717;8210;8198;0:18:10:00;0:18:57:00;1;-
5728;15;-1;8198;8198;0:18:57:00;0:19:17:00;9;
5728;15;327691;8198;8199;0:19:17:00;0:19:40:00;1;-
5728;15;-1;8199;8206;0:19:40:00;0:19:50:00;3;
5728;-3;-1;8206;-1;0:19:50:00;0:20:00:00;6;
14006;-3;-1;-1;8206;0:06:58:00;0:07:08:00;5;
14006;14;-1;8206;8217;0:07:08:00;0:07:14:00;4;
14006;14;655362;8217;8209;0:07:14:00;0:07:32:00;1;-
14006;14;-1;8209;8206;0:07:32:00;0:07:37:00;3;
14006;-1;P;-1;-1;0:07:37:00;0:09:35:00;8;
14006;7;-1;8206;8215;0:09:35:00;0:09:40:00;4;
14006;7;791438;8215;8222;0:09:40:00;0:09:48:00;1;-
14006;7;-1;8222;8210;0:09:48:00;0:10:00:00;2;
14006;7;327720;8210;8198;0:10:00:00;0:10:49:00;1;-
14006;7;-1;8198;8198;0:10:49:00;0:11:03:00;9;
14006;7;327704;8198;8199;0:11:03:00;0:11:30:00;1;-
14006;7;-1;8199;8199;0:11:30:00;0:11:51:00;9;
14006;7;327734;8199;8198;0:11:51:00;0:12:19:00;1;-
14006;7;-1;8198;8198;0:12:19:00;0:12:33:00;9;
14006;7;327697;8198;8210;0:12:33:00;0:13:18:00;1;-
14006;7;-1;8210;8206;0:13:18:00;0:13:29:00;2;
14006;7;-1;8206;8206;0:13:29:00;0:13:46:00;9;
14006;7;131077;8206;8198;0:13:46:00;0:14:36:00;1;-
14006;7;-1;8198;8198;0:14:36:00;0:14:48:00;9;
14006;7;131093;8198;8206;0:14:48:00;0:15:38:00;1;-
14006;7;-1;8206;8198;0:15:38:00;0:15:56:00;2;
14006;7;-1;8198;8198;0:15:56:00;0:16:03:00;9;
14006;7;327708;8198;8210;0:16:03:00;0:16:48:00;1;-
14006;7;-1;8210;8210;0:16:48:00;0:16:50:00;9;
14006;7;327730;8210;8198;0:16:50:00;0:17:37:00;1;-
14006;7;-1;8198;8198;0:17:37:00;0:17:51:00;9;
14006;7;131096;8198;8206;0:17:51:00;0:18:41:00;1;-
14006;7;-1;8206;8206;0:18:41:00;0:18:41:00;3;
14006;-3;-1;8206;-1;0:18:41:00;0:18:51:00;6;
19418;-3;-1;-1;8206;0:06:57:00;0:07:07:00;5;
19418;13;-1;8206;8217;0:07:07:00;0:07:13:00;4;
19418;13;655361;8217;8209;0:07:13:00;0:07:31:00;1;-
19418;13;-1;8209;8209;0:07:31:00;0:07:32:00;9;
19418;13;-1;8209;8217;0:07:32:00;0:07:39:00;2;
19418;13;-1;8217;8217;0:07:39:00;0:07:40:00;9;
19418;13;589828;8217;8222;0:07:40:00;0:07:57:00;1;-
19418;13;-1;8222;8206;0:07:57:00;0:08:00:00;3;
19418;-1;P;-1;-1;0:08:00:00;0:09:46:00;8;
19418;12;-1;8206;8206;0:09:46:00;0:09:46:00;4;
19418;12;131075;8206;8198;0:09:46:00;0:10:36:00;1;-
19418;12;-1;8198;8198;0:10:36:00;0:10:48:00;9;
19418;12;131086;8198;8206;0:10:48:00;0:11:38:00;1;-
19418;12;-1;8206;8196;0:11:38:00;0:12:00:00;2;
19418;12;-1;8196;8196;0:12:00:00;0:12:02:00;9;
19418;12;262148;8196;8211;0:12:02:00;0:12:53:00;1;-
19418;12;-1;8211;8210;0:12:53:00;0:12:59:00;2;
19418;12;-1;8210;8210;0:12:59:00;0:13:00:00;9;
19418;12;327684;8210;8198;0:13:00:00;0:13:49:00;1;-
19418;12;-1;8198;8198;0:13:49:00;0:14:03:00;9;
19418;12;327689;8198;8199;0:14:03:00;0:14:30:00;1;-
19418;12;-1;8199;8199;0:14:30:00;0:14:51:00;9;
19418;12;327687;8199;8198;0:14:51:00;0:15:19:00;1;-
19418;12;-1;8198;8220;0:15:19:00;0:15:40:00;2;
19418;12;-1;8220;8220;0:15:40:00;0:15:42:00;9;
