*
* Diensttypen
*
$DUTY:DutyID;DutyType
12;day-Tripper
33;day-Tripper
37;day-Tripper
47;day-Tripper
48;day-Tripper
5959;day-Block20
7231;day-Block20
14354;day-Block30
18798;day-Block20
19574;day-Split
20274;day-Block30
21584;day-Split
22373;day-Split
22440;day-Split
22791;day-Block15
23175;day-Block20
23341;day-Block30
23533;day-Tripper
24149;day-Split
24579;day-Block20
25377;day-Block30
26447;day-Block30
26650;day-Block30
27047;day-Split
27162;day-Split
27351;day-Block20
*
* Dienste
* (mit ElementType: 1 = Servicefahrt, 2 = Leerfahrt Haltestellen, 3 = Fahrt ins Depot, 4 = Fahrt aus dem Depot, 5 = Vorbereitung, 6 = Nachbereitung, 7 = Transfer, 8 = Pause, 9 = Warten, 10 = LayoverTime)
$DUTYELEMENT:DutyID;BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
12;-3;-1;-1;8206;0:04:29:00;0:04:39:00;5;
12;2;-1;8206;8211;0:04:39:00;0:04:45:00;4;
12;2;262179;8211;8196;0:04:45:00;0:05:32:00;1;-
12;2;-1;8196;8196;0:05:32:00;0:05:42:00;9;
12;2;262150;8196;8211;0:05:42:00;0:06:33:00;1;-
12;2;196627;8211;8220;0:06:33:00;0:07:20:00;1;-
12;2;-1;8220;8220;0:07:20:00;0:07:42:00;9;
12;2;196612;8220;8211;0:07:42:00;0:08:31:00;1;-
12;2;-1;8211;8206;0:08:31:00;0:08:37:00;3;
12;-3;-1;8206;-1;0:08:37:00;0:08:47:00;6;
33;-3;-1;-1;8206;0:05:49:00;0:05:59:00;5;
33;6;-1;8206;8210;0:05:59:00;0:06:10:00;4;
33;6;327723;8210;8198;0:06:10:00;0:06:57:00;1;-
33;6;-1;8198;8198;0:06:57:00;0:07:03:00;9;
33;6;327700;8198;8210;0:07:03:00;0:07:48:00;1;-
33;6;-1;8210;8210;0:07:48:00;0:07:50:00;9;
33;6;327685;8210;8198;0:07:50:00;0:08:39:00;1;-
33;6;-1;8198;8198;0:08:39:00;0:08:51:00;9;
33;6;131085;8198;8206;0:08:51:00;0:09:41:00;1;-
33;6;-1;8206;8206;0:09:41:00;0:09:41:00;3;
33;-3;-1;8206;-1;0:09:41:00;0:09:51:00;6;
37;-3;-1;-1;8206;0:05:51:00;0:06:01:00;5;
37;7;-1;8206;8208;0:06:01:00;0:06:06:00;4;
37;7;262187;8208;8195;0:06:06:00;0:06:18:00;1;-
37;7;-1;8195;8208;0:06:18:00;0:06:25:00;2;
37;7;-1;8208;8208;0:06:25:00;0:06:26:00;9;
37;7;262188;8208;8195;0:06:26:00;0:06:38:00;1;-
37;7;-1;8195;8198;0:06:38:00;0:06:51:00;2;
37;7;131084;8198;8206;0:06:51:00;0:07:41:00;1;-
37;7;-1;8206;8206;0:07:41:00;0:07:41:00;3;
37;-3;-1;8206;-1;0:07:41:00;0:07:51:00;6;
47;-3;-1;-1;8206;0:17:36:00;0:17:46:00;5;
47;4;-1;8206;8206;0:17:46:00;0:17:46:00;4;
47;4;131079;8206;8198;0:17:46:00;0:18:36:00;1;-
47;4;-1;8198;8198;0:18:36:00;0:18:51:00;9;
47;4;131097;8198;8206;0:18:51:00;0:19:41:00;1;-
47;4;-1;8206;8206;0:19:41:00;0:19:46:00;9;
47;4;131080;8206;8198;0:19:46:00;0:20:36:00;1;-
47;4;-1;8198;8198;0:20:36:00;0:20:51:00;9;
47;4;131099;8198;8206;0:20:51:00;0:21:41:00;1;-
47;4;-1;8206;8206;0:21:41:00;0:21:41:00;3;
47;-3;-1;8206;-1;0:21:41:00;0:21:51:00;6;
48;-3;-1;-1;8206;0:06:31:00;0:06:41:00;5;
48;10;-1;8206;8208;0:06:41:00;0:06:46:00;4;
48;10;262189;8208;8195;0:06:46:00;0:06:58:00;1;-
48;10;-1;8195;8217;0:06:58:00;0:07:04:00;2;
48;10;-1;8217;8217;0:07:04:00;0:07:10:00;9;
48;10;589825;8217;8209;0:07:10:00;0:07:24:00;1;-
48;10;-1;8209;8206;0:07:24:00;0:07:29:00;3;
48;-3;-1;8206;-1;0:07:29:00;0:07:39:00;6;
5959;-3;-1;-1;8206;0:06:51:00;0:07:01:00;5;
5959;12;-1;8206;8208;0:07:01:00;0:07:06:00;4;
5959;12;262190;8208;8195;0:07:06:00;0:07:18:00;1;-
5959;12;-1;8195;8216;0:07:18:00;0:07:22:00;2;
5959;12;-1;8216;8216;0:07:22:00;0:07:30:00;9;
5959;12;589827;8216;8209;0:07:30:00;0:07:44:00;1;-
5959;12;-1;8209;8222;0:07:44:00;0:07:50:00;2;
5959;12;-1;8222;8222;0:07:50:00;0:07:55:00;9;
5959;12;791433;8222;8211;0:07:55:00;0:08:00:00;1;-
5959;12;-1;8211;8222;0:08:00:00;0:08:06:00;2;
5959;12;-1;8222;8222;0:08:06:00;0:08:10:00;9;
5959;12;791440;8222;8215;0:08:10:00;0:08:18:00;1;-
5959;12;-1;8215;8206;0:08:18:00;0:08:23:00;3;
5959;-1;P;-1;-1;0:08:23:00;0:08:49:00;8;
5959;2;-1;8206;8211;0:08:49:00;0:08:55:00;4;
5959;2;791437;8211;8222;0:08:55:00;0:09:00:00;1;-
5959;2;-1;8222;8206;0:09:00:00;0:09:03:00;3;
5959;-1;P;-1;-1;0:09:03:00;0:09:35:00;8;
5959;7;-1;8206;8215;0:09:35:00;0:09:40:00;4;
