*
* Primaere Verspaetungen
*
$PRIMARYDELAY:DutyID;VehicleID;ServiceJourneyID;DepTime;Delay
;;15;000:14:49:00;98
;;19;000:17:49:00;382
;;26;000:06:02:00;58
;;31;000:09:51:00;127
;;36;000:13:32:00;172
;;41;000:17:21:00;174
;;44;000:19:32:00;227
;;53;000:10:49:00;291
;;55;000:12:19:00;10
;;69;000:07:02:00;171
;;70;000:07:51:00;418
;;77;000:13:02:00;352
;;78;000:13:51:00;324
;;82;000:16:51:00;168
;;84;000:18:21:00;69
;;86;000:19:51:00;121
;;90;000:07:32:00;122
;;93;000:10:45:00;122
;;97;000:14:45:00;46
;;99;000:16:45:00;224
;;100;000:17:32:00;145
;;103;000:05:32:00;135
;;109;000:10:57:00;245
;;116;000:07:21:00;431
;;120;000:10:21:00;163
;;121;000:11:02:00;24
;;123;000:12:32:00;53
;;125;000:14:02:00;594
;;129;000:17:02:00;124
;;139;000:09:49:00;217
;;146;000:15:01:00;298
;;147;000:15:49:00;2
;;158;000:10:01:00;344
;;164;000:16:01:00;12
;;165;000:17:08:00;4
;;172;000:08:50:00;244
;;174;000:10:52:00;203
;;175;000:11:36:00;318
;;177;000:12:57:00;153
;;190;000:08:19:00;271
;;191;000:06:19:00;59
;;193;000:07:49:00;236
;;202;000:14:34:00;253
;;204;000:16:04:00;8
;;205;000:16:49:00;28
;;206;000:17:34:00;730
;;211;000:06:23:00;120
;;214;000:08:28:00;135
;;215;000:09:23:00;25
;;221;000:13:53:00;15
;;225;000:16:53:00;38
;;232;000:07:43:00;80
;;242;000:16:20:00;206
;;243;000:16:57:00;69
;;246;000:19:50:00;333
;;256;000:14:28:00;241
;;258;000:16:28:00;250
;;260;000:18:28:00;86
;;261;000:19:15:00;169
;;269;000:11:02:00;215
;;273;000:14:02:00;47
;;274;000:14:53:00;122
;;282;000:06:32:00;61
;;285;000:09:45:00;530
;;299;000:08:38:00;476
;;306;000:15:31:00;102
;;311;000:20:38:00;478
;;318;000:11:19:00;56
;;329;000:19:34:00;85
;;334;000:08:49:00;22
;;338;000:11:49:00;212
;;339;000:12:34:00;158
;;344;000:16:19:00;140
;;345;000:17:04:00;231
;;346;000:17:49:00;136
;;358;000:12:02:00;94
;;359;000:12:53:00;401
;;360;000:13:28:00;113
;;363;000:15:53:00;304
;;365;000:17:23:00;8
;;369;000:20:23:00;24
;;371;000:08:13:00;151
;;382;000:17:27:00;353
;;387;000:07:36:00;34
;;389;000:08:57:00;263
;;391;000:11:06:00;3
;;397;000:15:57:00;676
;;399;000:18:06:00;15
;;403;000:07:20:00;111
;;404;000:07:57:00;404
;;408;000:11:27:00;252
;;415;000:17:20:00;152
;;418;000:20:06:00;132
;;420;000:07:28:00;229
;;427;000:14:15:00;224
;;439;000:07:38:00;291
;;445;000:13:38:00;353
;;447;000:15:38:00;126
;;453;000:07:50:00;146
;;454;000:08:27:00;212
;;458;000:11:57:00;97
;;463;000:16:22:00;736
;;464;000:17:06:00;449
;;470;000:11:58:00;397
;;474;000:16:02:00;48
;;476;000:18:02:00;56
;;479;000:11:30:00;77
;;486;000:17:15:00;132
;;490;000:14:48:00;212
;;495;000:14:20:00;298
;;496;000:14:45:00;24
;;509;000:17:30:00;361
;;517;000:23:00:00;49
;;561;000:21:00:00;169
;;597;001:02:15:00;105
;;601;000:21:18:00;193
;;617;001:01:33:00;547
;;620;001:02:15:00;69
;;621;001:02:33:00;684
;;634;001:02:53:00;473
;;646;001:02:45:00;115
;;649;000:22:18:00;158
;;655;001:01:01:00;41
