*
* Diensttypen
*
$DUTY:DutyID;DutyType
s18;day-Tripper
s19;day-Tripper
s57;day-Tripper
s19030;day-Block30
s54001;day-Block30
s60271;day-Block30
s74815;day-Split90-225
s74939;day-Split90-225
s89821;day-Split90-225
s91825;day-Split90-225
4;day-Split90-225
9;day-Split90-225
16;day-Block30
17;day-Block30
30;day-Block30
4077;day-Block30
28634;day-Block30
28742;day-Block30
30330;day-Split90-225
31602;day-Split90-225
42096;day-Block30
47549;day-Block30
52432;day-Block30
53469;day-Block30
55510;day-Block30
55800;day-Block30
56849;day-Block30
58036;day-Block30
58094;day-Block30
59449;day-Block30
60536;day-Block30
61813;day-Block30
62085;day-Split90-225
62578;day-Split90-225
62816;day-Split226-360
65482;day-Block30
65647;day-Split90-225
65721;day-Split226-360
65934;day-Block30
66481;day-Block30
66610;day-Split90-225
66953;day-Split90-225
67443;day-Split226-360
67462;day-Split226-360
67477;day-Split226-360
67490;day-Split226-360
67567;day-Split226-360
67593;day-Block30
67603;day-Block30
67614;day-Block30
67776;day-Block30
68201;day-Block30
*
* Dienste
* (mit ElementType: 1 = Servicefahrt, 2 = Leerfahrt Haltestellen, 3 = Fahrt ins Depot, 4 = Fahrt aus dem Depot, 5 = Vorbereitung, 6 = Nachbereitung, 7 = Transfer, 8 = Pause, 9 = Warten, 10 = LayoverTime)
$DUTYELEMENT:DutyID;BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
s18;-3;-1;-1;8211;0:08:21:00;0:08:31:00;5;
s18;-3;-1;8211;8211;0:08:31:00;0:08:33:00;9;
s18;2;196628;8211;8220;0:08:33:00;0:09:20:00;1;-
s18;2;-1;8220;8220;0:09:20:00;0:09:39:00;9;
s18;2;196613;8220;8211;0:09:39:00;0:10:28:00;1;-
s18;2;-1;8211;8211;0:10:28:00;0:10:30:00;9;
s18;2;196629;8211;8220;0:10:30:00;0:11:17:00;1;-
s18;2;-1;8220;8220;0:11:17:00;0:11:39:00;9;
s18;2;196614;8220;8211;0:11:39:00;0:12:28:00;1;-
s18;2;-1;8211;8211;0:12:28:00;0:12:30:00;9;
s18;-3;-1;8211;-1;0:12:30:00;0:12:40:00;6;
s19;-3;-1;-1;8211;0:12:20:00;0:12:30:00;5;
s19;2;196630;8211;8220;0:12:30:00;0:13:17:00;1;-
s19;2;-1;8220;8220;0:13:17:00;0:13:42:00;9;
s19;2;196615;8220;8211;0:13:42:00;0:14:31:00;1;-
s19;2;-1;8211;8211;0:14:31:00;0:14:33:00;9;
s19;2;196631;8211;8220;0:14:33:00;0:15:20:00;1;-
s19;2;-1;8220;8220;0:15:20:00;0:15:42:00;9;
s19;2;196616;8220;8211;0:15:42:00;0:16:31:00;1;-
s19;2;-1;8211;8211;0:16:31:00;0:16:33:00;9;
s19;-3;-1;8211;-1;0:16:33:00;0:16:43:00;6;
s57;-3;-1;-1;0;0:06:47:00;0:06:57:00;5;
s57;20;-1;0;8211;0:06:57:00;0:07:03:00;4;
s57;20;393224;8211;8213;0:07:03:00;0:07:49:00;1;-
s57;20;393258;8213;8211;0:07:49:00;0:08:36:00;1;-
s57;20;-1;8211;8211;0:08:36:00;0:08:45:00;9;
s57;20;262181;8211;8196;0:08:45:00;0:09:39:00;1;-
s57;20;-1;8196;8196;0:09:39:00;0:10:02:00;9;
s57;20;262155;8196;8211;0:10:02:00;0:10:53:00;1;-
s57;20;-1;8211;8210;0:10:53:00;0:10:59:00;2;
s57;20;-1;8210;8210;0:10:59:00;0:11:00:00;9;
s57;-1;-1;8210;0;0:11:00:00;0:11:05:00;7;
s57;-3;-1;0;-1;0:11:05:00;0:11:15:00;6;
s19030;-3;-1;-1;0;0:04:21:00;0:04:31:00;5;
s19030;4;-1;0;8206;0:04:31:00;0:04:31:00;4;
s19030;4;65554;8206;8203;0:04:31:00;0:04:57:00;1;-
s19030;4;-1;8203;8203;0:04:57:00;0:05:00:00;9;
s19030;4;65591;8203;8206;0:05:00:00;0:05:25:00;1;-
s19030;4;-1;8206;8207;0:05:25:00;0:05:31:00;2;
s19030;4;393310;8207;8199;0:05:31:00;0:05:49:00;1;-
s19030;4;-1;8199;8199;0:05:49:00;0:05:51:00;9;
s19030;4;393337;8199;8207;0:05:51:00;0:06:07:00;1;-
