* Haltestellen
*
$STOPPOINT:ID;Code;Name
0;0;Depot
8215;8215;8215
8216;8216;8216
8217;8217;8217
8193;8193;8193
8220;8220;8220
8194;8194;8194
8195;8195;8195
8196;8196;8196
8222;8222;8222
8224;8224;8224
8225;8225;8225
8198;8198;8198
8199;8199;8199
8201;8201;8201
8235;8235;8235
8202;8202;8202
8203;8203;8203
8204;8204;8204
8205;8205;8205
8206;8206;8206
8207;8207;8207
8221;8221;8221
8208;8208;8208
8209;8209;8209
8210;8210;8210
8211;8211;8211
8234;8234;8234
8231;8231;8231
8232;8232;8232
8213;8213;8213

*
$DAY:dayID;Name
0;Mo
1;Di
2;Mi
3;Do
4;Fr
*
* Tage, an denen die Trips genutzt werden
*
$DAYS:TRIPID;d1;d2;d3;d4;d5
65554;1;1;1;1;1
65545;1;1;1;1;1
65591;1;1;1;1;1
65537;1;1;1;1;1
65555;1;1;1;1;1
65566;1;1;1;1;1
65567;1;1;1;1;1
65568;1;1;1;1;1
65546;1;1;1;1;1
65538;1;1;1;1;1
65556;1;1;1;1;1
65569;1;1;1;1;1
65570;1;1;1;1;1
65571;1;1;1;1;1
65547;1;1;1;1;1
65539;1;1;1;1;1
65557;1;1;1;1;1
65576;1;1;1;1;1
65577;1;1;1;1;1
65578;1;1;1;1;1
65548;1;1;1;1;1
65540;1;1;1;1;1
65558;1;1;1;1;1
65579;1;1;1;1;1
65580;1;1;1;1;1
65581;1;1;1;1;1
65549;1;1;1;1;1
65541;1;1;1;1;1
65559;1;1;1;1;1
65582;1;1;1;1;1
65583;1;1;1;1;1
65584;1;1;1;1;1
65550;1;1;1;1;1
65542;1;1;1;1;1
65560;1;1;1;1;1
65585;1;1;1;1;1
65586;1;1;1;1;1
65572;1;1;1;1;1
65551;1;1;1;1;1
65543;1;1;1;1;1
65573;1;1;1;1;1
65561;1;1;1;1;1
65587;1;1;1;1;1
65575;1;1;1;1;1
65574;1;1;1;1;1
65552;1;1;1;1;1
65544;1;1;1;1;1
65588;1;1;1;1;1
65562;1;1;1;1;1
65553;1;1;1;1;1
65589;1;1;1;1;1
65590;1;1;1;1;1
65563;1;1;1;1;1
65592;1;1;1;1;1
65564;1;1;1;1;1
65593;1;1;1;1;1
65565;1;1;1;1;1
65594;1;1;1;1;1
131073;1;1;1;1;1
131081;1;1;1;1;1
131084;1;1;1;1;1
131100;1;1;1;1;1
131074;1;1;1;1;1
131082;1;1;1;1;1
131085;1;1;1;1;1
131101;1;1;1;1;1
131075;1;1;1;1;1
131087;1;1;1;1;1
131086;1;1;1;1;1
131076;1;1;1;1;1
131091;1;1;1;1;1
131088;1;1;1;1;1
131077;1;1;1;1;1
131092;1;1;1;1;1
131089;1;1;1;1;1
131093;1;1;1;1;1
131078;1;1;1;1;1
131094;1;1;1;1;1
131090;1;1;1;1;1
131095;1;1;1;1;1
131079;1;1;1;1;1
131096;1;1;1;1;1
131083;1;1;1;1;1
131097;1;1;1;1;1
131080;1;1;1;1;1
131098;1;1;1;1;1
131099;1;1;1;1;1
196609;1;1;1;1;1
196626;1;1;1;1;1
196610;1;1;1;1;1
196627;1;1;1;1;1
196612;1;1;1;1;1
196628;1;1;1;1;1
196613;1;1;1;1;1
196629;1;1;1;1;1
196614;1;1;1;1;1
196630;1;1;1;1;1
196615;1;1;1;1;1
196631;1;1;1;1;1
196616;1;1;1;1;1
196632;1;1;1;1;1
196617;1;1;1;1;1
196633;1;1;1;1;1
196618;1;1;1;1;1
196611;1;1;1;1;1
262170;1;1;1;1;1
262179;1;1;1;1;1
262145;1;1;1;1;1
262150;1;1;1;1;1
262187;1;1;1;1;1
262171;1;1;1;1;1
262188;1;1;1;1;1
262180;1;1;1;1;1
262189;1;1;1;1;1
262190;1;1;1;1;1
262146;1;1;1;1;1
262191;1;1;1;1;1
262152;1;1;1;1;1
262192;1;1;1;1;1
262193;1;1;1;1;1
262172;1;1;1;1;1
262194;1;1;1;1;1
262181;1;1;1;1;1
262147;1;1;1;1;1
262155;1;1;1;1;1
262173;1;1;1;1;1
262185;1;1;1;1;1
262148;1;1;1;1;1
262159;1;1;1;1;1
262174;1;1;1;1;1
262182;1;1;1;1;1
262158;1;1;1;1;1
262156;1;1;1;1;1
262175;1;1;1;1;1
262160;1;1;1;1;1
262183;1;1;1;1;1
262164;1;1;1;1;1
262195;1;1;1;1;1
262166;1;1;1;1;1
262196;1;1;1;1;1
262163;1;1;1;1;1
262149;1;1;1;1;1
262197;1;1;1;1;1
262165;1;1;1;1;1
262157;1;1;1;1;1
262198;1;1;1;1;1
262167;1;1;1;1;1
262199;1;1;1;1;1
262162;1;1;1;1;1
262178;1;1;1;1;1
262200;1;1;1;1;1
262168;1;1;1;1;1
262186;1;1;1;1;1
262169;1;1;1;1;1
262151;1;1;1;1;1
262161;1;1;1;1;1
262176;1;1;1;1;1
262184;1;1;1;1;1
262201;1;1;1;1;1
262153;1;1;1;1;1
262177;1;1;1;1;1
262154;1;1;1;1;1
327682;1;1;1;1;1
327718;1;1;1;1;1
327723;1;1;1;1;1
327690;1;1;1;1;1
327692;1;1;1;1;1
327700;1;1;1;1;1
327681;1;1;1;1;1
327719;1;1;1;1;1
327685;1;1;1;1;1
327694;1;1;1;1;1
327693;1;1;1;1;1
327737;1;1;1;1;1
327683;1;1;1;1;1
327714;1;1;1;1;1
327706;1;1;1;1;1
327726;1;1;1;1;1
327720;1;1;1;1;1
327688;1;1;1;1;1
327701;1;1;1;1;1
327686;1;1;1;1;1
327729;1;1;1;1;1
327704;1;1;1;1;1
327695;1;1;1;1;1
327734;1;1;1;1;1
327725;1;1;1;1;1
327715;1;1;1;1;1
327697;1;1;1;1;1
327738;1;1;1;1;1
327684;1;1;1;1;1
327702;1;1;1;1;1
327707;1;1;1;1;1
327736;1;1;1;1;1
327721;1;1;1;1;1
327689;1;1;1;1;1
327703;1;1;1;1;1
327687;1;1;1;1;1
327713;1;1;1;1;1
327739;1;1;1;1;1
327696;1;1;1;1;1
327727;1;1;1;1;1
327735;1;1;1;1;1
327708;1;1;1;1;1
327699;1;1;1;1;1
327722;1;1;1;1;1
