*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID
0;1;1
1;1;1
2;1;1
3;1;1
4;1;1
5;1;1
6;1;1
7;1;1
8;1;1
9;1;1
10;1;1
11;1;1
12;1;1
13;1;1
14;1;1
15;1;1
16;1;1
17;1;1
18;1;1
19;1;1
20;1;1
21;1;1
22;1;1
23;1;1
24;1;1
25;1;1
26;1;1
27;1;1
28;1;1
29;1;1
30;1;1
31;1;1
32;1;1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
0;VD0;1;432;0:04:35:00;0:04:58:00;4;
0;0;432;509;0:04:58:00;0:05:31:00;1;
0;0w;509;509;0:05:31:00;0:05:32:00;9;
0;LW;509;558;0:05:32:00;0:05:59:00;2;
0;LWw;558;558;0:05:59:00;0:06:01:00;9;
0;134;558;101;0:06:01:00;0:06:38:00;1;
0;134w;101;101;0:06:38:00;0:06:49:00;9;
0;135;101;558;0:06:49:00;0:07:23:00;1;
0;135w;558;558;0:07:23:00;0:07:31:00;9;
0;136;558;101;0:07:31:00;0:08:08:00;1;
0;ZD136;101;1;0:08:08:00;0:08:10:00;3;
0;VD250;1;228;0:08:16:00;0:08:28:00;4;
0;250;228;292;0:08:28:00;0:09:10:00;1;
0;250w;292;292;0:09:10:00;0:09:15:00;9;
0;251;292;228;0:09:15:00;0:09:55:00;1;
0;ZD251;228;1;0:09:55:00;0:10:07:00;3;
0;VD337;1;253;0:10:59:00;0:11:04:00;4;
0;337;253;297;0:11:04:00;0:11:38:00;1;
0;337w;297;297;0:11:38:00;0:11:49:00;9;
0;338;297;253;0:11:49:00;0:12:22:00;1;
0;ZD338;253;1;0:12:22:00;0:12:27:00;3;
0;VD409;1;213;0:12:43:00;0:12:52:00;4;
0;409;213;271;0:12:52:00;0:13:29:00;1;
0;409w;271;271;0:13:29:00;0:13:36:00;9;
0;410;271;441;0:13:36:00;0:14:08:00;1;
0;410w;441;441;0:14:08:00;0:14:21:00;9;
0;37;441;296;0:14:21:00;0:14:53:00;1;
0;37w;296;296;0:14:53:00;0:15:02:00;9;
0;38;296;441;0:15:02:00;0:15:34:00;1;
0;38w;441;441;0:15:34:00;0:15:51:00;9;
0;39;441;296;0:15:51:00;0:16:23:00;1;
0;39w;296;296;0:16:23:00;0:16:32:00;9;
0;40;296;441;0:16:32:00;0:17:04:00;1;
0;40w;441;441;0:17:04:00;0:17:20:00;9;
0;415;441;271;0:17:20:00;0:17:54:00;1;
0;415w;271;271;0:17:54:00;0:17:57:00;9;
0;416;271;218;0:17:57:00;0:18:50:00;1;
0;416w;218;218;0:18:50:00;0:19:06:00;9;
0;417;218;271;0:19:06:00;0:19:59:00;1;
0;417w;271;271;0:19:59:00;0:20:06:00;9;
0;418;271;441;0:20:06:00;0:20:38:00;1;
0;ZD418;441;1;0:20:38:00;0:20:54:00;3;
1;VD1;1;189;0:04:35:00;0:05:00:00;4;
1;1;189;509;0:05:00:00;0:05:31:00;1;
1;LW;509;441;0:05:31:00;0:05:49:00;2;
1;LWw;441;441;0:05:49:00;0:05:51:00;9;
1;114;441;296;0:05:51:00;0:06:23:00;1;
1;114w;296;296;0:06:23:00;0:06:32:00;9;
1;115;296;441;0:06:32:00;0:07:04:00;1;
1;115w;441;441;0:07:04:00;0:07:20:00;9;
