*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID
0;1;0
1;1;0
2;1;0
3;1;0
4;1;0
5;1;0
6;1;0
7;1;0
8;1;0
9;1;0
10;1;0
11;1;0
12;1;0
13;1;0
14;1;0
15;1;0
16;1;0
17;1;0
18;1;0
19;1;0
20;1;0
21;1;0
22;1;0
23;1;0
24;1;0
25;1;0
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
0;VD393217;0;8211;0:04:17:00;0:04:23:00;4;
0;393217;8211;8213;0:04:23:00;0:05:09:00;1;-
0;ZD393217;8213;0;0:05:09:00;0:05:35:00;3;
0;VD65555;0;8206;0:05:38:00;0:05:38:00;4;
0;65555;8206;8202;0:05:38:00;0:06:31:00;1;-
0;65555w;8202;8202;0:06:31:00;0:06:35:00;9;
0;65568;8202;8206;0:06:35:00;0:07:25:00;1;-
0;ZD65568;8206;0;0:07:25:00;0:07:25:00;3;
0;VD131087;0;8206;0:10:46:00;0:10:46:00;4;
0;131087;8206;8198;0:10:46:00;0:11:36:00;1;-
0;131087w;8198;8198;0:11:36:00;0:11:48:00;9;
0;131091;8198;8206;0:11:48:00;0:12:38:00;1;-
0;65541;8206;8204;0:12:38:00;0:13:18:00;1;-
0;65541w;8204;8204;0:13:18:00;0:13:28:00;9;
0;65583;8204;8206;0:13:28:00;0:14:05:00;1;-
0;ZD65583;8206;0;0:14:05:00;0:14:05:00;3;
0;VD65542;0;8206;0:14:18:00;0:14:18:00;4;
0;65542;8206;8204;0:14:18:00;0:14:58:00;1;-
0;65542w;8204;8204;0:14:58:00;0:15:08:00;9;
0;65586;8204;8206;0:15:08:00;0:15:45:00;1;-
0;ZD65586;8206;0;0:15:45:00;0:15:45:00;3;
0;VD262166;0;8195;0:16:09:00;0:16:21:00;4;
0;262166;8195;8211;0:16:21:00;0:16:43:00;1;-
0;393245;8211;8213;0:16:43:00;0:17:29:00;1;-
0;393245w;8213;8213;0:17:29:00;0:17:49:00;9;
0;393263;8213;8211;0:17:49:00;0:18:36:00;1;-
0;ZD393263;8211;0;0:18:36:00;0:18:42:00;3;
0;VD131080;0;8206;0:19:46:00;0:19:46:00;4;
0;131080;8206;8198;0:19:46:00;0:20:36:00;1;-
0;131080w;8198;8198;0:20:36:00;0:20:51:00;9;
0;131099;8198;8206;0:20:51:00;0:21:41:00;1;-
0;ZD131099;8206;0;0:21:41:00;0:21:41:00;3;
1;VD262170;0;8211;0:04:19:00;0:04:25:00;4;
1;262170;8211;8196;0:04:25:00;0:05:12:00;1;-
1;262170w;8196;8196;0:05:12:00;0:05:22:00;9;
1;262145;8196;8211;0:05:22:00;0:06:13:00;1;-
1;262145w;8211;8211;0:06:13:00;0:06:25:00;9;
1;262171;8211;8196;0:06:25:00;0:07:19:00;1;-
1;262171w;8196;8196;0:07:19:00;0:07:22:00;9;
1;262146;8196;8211;0:07:22:00;0:08:13:00;1;-
1;262146w;8211;8211;0:08:13:00;0:08:23:00;9;
1;393227;8211;8213;0:08:23:00;0:09:09:00;1;-
1;L393227;8213;8198;0:09:09:00;0:09:20:00;2;
1;L393227w;8198;8198;0:09:20:00;0:09:21:00;9;
1;131101;8198;8206;0:09:21:00;0:10:11:00;1;-
1;ZD131101;8206;0;0:10:11:00;0:10:11:00;3;
1;VD65548;0;8206;0:10:38:00;0:10:38:00;4;
1;65548;8206;8204;0:10:38:00;0:11:18:00;1;-
1;65548w;8204;8204;0:11:18:00;0:11:28:00;9;
1;65579;8204;8206;0:11:28:00;0:12:05:00;1;-
1;ZD65579;8206;0;0:12:05:00;0:12:05:00;3;
1;VD524290;0;8209;0:13:10:00;0:13:15:00;4;
1;524290;8209;8224;0:13:15:00;0:13:26:00;1;-
1;L524290;8224;8199;0:13:26:00;0:13:40:00;2;
1;L524290w;8199;8199;0:13:40:00;0:13:51:00;9;
1;327736;8199;8198;0:13:51:00;0:14:19:00;1;-
1;327736w;8198;8198;0:14:19:00;0:14:33:00;9;
1;327703;8198;8210;0:14:33:00;0:15:18:00;1;-
1;L327703;8210;8211;0:15:18:00;0:15:24:00;2;
1;L327703w;8211;8211;0:15:24:00;0:15:25:00;9;
1;262175;8211;8196;0:15:25:00;0:16:19:00;1;-
1;262175w;8196;8196;0:16:19:00;0:16:42:00;9;
1;262149;8196;8211;0:16:42:00;0:17:33:00;1;-
1;262149w;8211;8211;0:17:33:00;0:17:35:00;9;
1;262199;8211;8195;0:17:35:00;0:17:58:00;1;-
1;262199w;8195;8195;0:17:58:00;0:18:01:00;9;
1;262168;8195;8211;0:18:01:00;0:18:23:00;1;-
1;393248;8211;8213;0:18:23:00;0:19:09:00;1;-
1;393248w;8213;8213;0:19:09:00;0:19:29:00;9;
1;393256;8213;8211;0:19:29:00;0:20:16:00;1;-
1;ZD393256;8211;0;0:20:16:00;0:20:22:00;3;
1;VD65565;0;8206;0:22:15:00;0:22:15:00;4;
1;65565;8206;8203;0:22:15:00;0:22:41:00;1;-
1;65565w;8203;8203;0:22:41:00;0:22:49:00;9;
1;65594;8203;8206;0:22:49:00;0:23:14:00;1;-
1;ZD65594;8206;0;0:23:14:00;0:23:14:00;3;
2;VD196609;0;8209;0:04:21:00;0:04:26:00;4;
2;196609;8209;8211;0:04:26:00;0:04:29:00;1;-
2;196609w;8211;8211;0:04:29:00;0:04:30:00;9;
2;196626;8211;8220;0:04:30:00;0:05:17:00;1;-
2;196626w;8220;8220;0:05:17:00;0:05:42:00;9;
2;196610;8220;8211;0:05:42:00;0:06:31:00;1;-
2;196610w;8211;8211;0:06:31:00;0:06:33:00;9;
2;196627;8211;8220;0:06:33:00;0:07:20:00;1;-
2;196627w;8220;8220;0:07:20:00;0:07:42:00;9;
2;196612;8220;8211;0:07:42:00;0:08:31:00;1;-
2;196612w;8211;8211;0:08:31:00;0:08:33:00;9;
2;196628;8211;8220;0:08:33:00;0:09:20:00;1;-
2;196628w;8220;8220;0:09:20:00;0:09:39:00;9;
2;196613;8220;8211;0:09:39:00;0:10:28:00;1;-
2;196613w;8211;8211;0:10:28:00;0:10:30:00;9;
2;196629;8211;8220;0:10:30:00;0:11:17:00;1;-
2;196629w;8220;8220;0:11:17:00;0:11:39:00;9;
2;196614;8220;8211;0:11:39:00;0:12:28:00;1;-
2;196614w;8211;8211;0:12:28:00;0:12:30:00;9;
2;196630;8211;8220;0:12:30:00;0:13:17:00;1;-
2;196630w;8220;8220;0:13:17:00;0:13:42:00;9;
2;196615;8220;8211;0:13:42:00;0:14:31:00;1;-
2;196615w;8211;8211;0:14:31:00;0:14:33:00;9;
2;196631;8211;8220;0:14:33:00;0:15:20:00;1;-
2;196631w;8220;8220;0:15:20:00;0:15:42:00;9;
2;196616;8220;8211;0:15:42:00;0:16:31:00;1;-
2;196616w;8211;8211;0:16:31:00;0:16:33:00;9;
2;196632;8211;8220;0:16:33:00;0:17:20:00;1;-
2;196632w;8220;8220;0:17:20:00;0:17:39:00;9;
2;196617;8220;8211;0:17:39:00;0:18:28:00;1;-
2;196617w;8211;8211;0:18:28:00;0:18:30:00;9;
2;196633;8211;8220;0:18:30:00;0:19:17:00;1;-
2;196633w;8220;8220;0:19:17:00;0:19:39:00;9;
2;196618;8220;8211;0:19:39:00;0:20:28:00;1;-
2;ZD196618;8211;0;0:20:28:00;0:20:34:00;3;
2;VD65564;0;8206;0:21:15:00;0:21:15:00;4;
2;65564;8206;8203;0:21:15:00;0:21:41:00;1;-
2;65564w;8203;8203;0:21:41:00;0:21:49:00;9;
2;65593;8203;8206;0:21:49:00;0:22:14:00;1;-
2;ZD65593;8206;0;0:22:14:00;0:22:14:00;3;
3;VD393289;0;8201;0:04:28:00;0:04:45:00;4;
3;393289;8201;8211;0:04:45:00;0:05:16:00;1;-
3;393289w;8211;8211;0:05:16:00;0:05:23:00;9;
3;393220;8211;8213;0:05:23:00;0:06:09:00;1;-
3;393264;8213;8211;0:06:09:00;0:06:56:00;1;-
3;393264w;8211;8211;0:06:56:00;0:07:02:00;9;
3;720898;8211;8235;0:07:02:00;0:07:32:00;1;-
3;L720898;8235;8210;0:07:32:00;0:07:52:00;2;
3;L720898w;8210;8210;0:07:52:00;0:07:53:00;9;
3;458753;8210;8221;0:07:53:00;0:08:11:00;1;-
3;ZD458753;8221;0;0:08:11:00;0:08:12:00;3;
3;VD131082;0;8206;0:08:16:00;0:08:16:00;4;
3;131082;8206;8198;0:08:16:00;0:09:06:00;1;-
3;ZD131082;8198;0;0:09:06:00;0:09:24:00;3;
3;VD786438;0;8232;0:10:52:00;0:10:55:00;4;
3;786438;8232;8211;0:10:55:00;0:11:00:00;1;-
3;786438w;8211;8211;0:11:00:00;0:11:05:00;9;
3;262185;8211;8193;0:11:05:00;0:12:03:00;1;-
3;262185w;8193;8193;0:12:03:00;0:12:18:00;9;
3;262159;8193;8211;0:12:18:00;0:13:13:00;1;-
3;L262159;8211;8209;0:13:13:00;0:13:17:00;2;
3;589832;8209;8217;0:13:17:00;0:13:34:00;1;-
3;L589832;8217;8221;0:13:34:00;0:13:40:00;2;
3;458759;8221;8210;0:13:40:00;0:13:58:00;1;-
3;458759w;8210;8210;0:13:58:00;0:14:00:00;9;
3;327721;8210;8198;0:14:00:00;0:14:49:00;1;-
3;327721w;8198;8198;0:14:49:00;0:15:03:00;9;
3;327713;8198;8199;0:15:03:00;0:15:30:00;1;-
