*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID
0;1;1
1;1;1
2;1;1
3;1;1
4;1;1
5;1;1
6;1;1
7;1;1
8;1;1
9;1;1
10;1;1
11;1;1
12;1;1
13;1;1
14;1;1
15;1;1
16;1;1
17;1;1
18;1;1
19;1;1
20;1;1
21;1;1
22;1;1
23;1;1
24;1;1
25;1;1
26;1;1
27;1;1
28;1;1
29;1;1
30;1;1
31;1;1
32;1;1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
0;VD1;1;189;0:04:35:00;0:05:00:00;4;
0;1;189;509;0:05:00:00;0:05:31:00;1;
0;ZD1;509;1;0:05:31:00;0:05:33:00;3;
0;VD114;1;441;0:05:35:00;0:05:51:00;4;
0;114;441;296;0:05:51:00;0:06:23:00;1;
0;114w;296;296;0:06:23:00;0:06:32:00;9;
0;115;296;441;0:06:32:00;0:07:04:00;1;
0;115w;441;441;0:07:04:00;0:07:20:00;9;
0;403;441;271;0:07:20:00;0:07:54:00;1;
0;403w;271;271;0:07:54:00;0:07:57:00;9;
0;404;271;654;0:07:57:00;0:08:41:00;1;
0;L404;654;213;0:08:41:00;0:08:48:00;2;
0;L404w;213;213;0:08:48:00;0:08:52:00;9;
0;106;213;271;0:08:52:00;0:09:29:00;1;
0;106w;271;271;0:09:29:00;0:09:36:00;9;
0;107;271;441;0:09:36:00;0:10:08:00;1;
0;L107;441;228;0:10:08:00;0:10:21:00;2;
0;L107w;228;228;0:10:21:00;0:10:28:00;9;
0;252;228;292;0:10:28:00;0:11:10:00;1;
0;252w;292;292;0:11:10:00;0:11:15:00;9;
0;253;292;312;0:11:15:00;0:12:12:00;1;
0;254;312;292;0:12:12:00;0:13:10:00;1;
0;L254;292;297;0:13:10:00;0:13:14:00;2;
0;L254w;297;297;0:13:14:00;0:13:19:00;9;
0;340;297;253;0:13:19:00;0:13:52:00;1;
0;340w;253;253;0:13:52:00;0:14:04:00;9;
0;341;253;297;0:14:04:00;0:14:38:00;1;
0;ZD341;297;1;0:14:38:00;0:14:58:00;3;
0;VD59;1;101;0:15:09:00;0:15:19:00;4;
0;59;101;558;0:15:19:00;0:15:53:00;1;
0;59w;558;558;0:15:53:00;0:16:01:00;9;
0;60;558;101;0:16:01:00;0:16:38:00;1;
0;L60;101;586;0:16:38:00;0:16:50:00;2;
0;L60w;586;586;0:16:50:00;0:17:08:00;9;
0;165;586;364;0:17:08:00;0:17:53:00;1;
